index,ids,type,target_group,address,nuts3,owner,scale of_service,form_of_service,capacity,tel,mail,web,name_of_stat,name_of_stat_ast,date_of_reg,date_of_exclusion,sector,muni,type_en,fos_en,owner_en
263,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",nízkoprahová sociálna služba pre deti a rodinu,Fyzická osoba ohrozená správaním iných fyzických osôb alebo obe správania iných fyzických osôb - rodič s dieaom; Fyzická osoba so závislosou od návykových látok alebo návykových škodlivých činností - rodina; Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - rodina,"Letná 47, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.","Mgr.,PaedDr. Soña Vancáková PhD.",26/08/2016 00:00,NULL,Košice,Košice,low-threshold social service for children and family,ambulant,privately owned
517,"ETP Slovensko - Centrum pre udržateľný rozvoj, Tajovského 737/1, 040 01 Košice-Staré Mesto, IčO: 31751245",nízkoprahová sociálna služba pre deti a rodinu,Rodiny s demi,"Tajovského 1, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Veronika Poklembová PhD.,Mgr. Ľudmila Stašáková,07/06/2010 00:00,NULL,Košice,Košice,low-threshold social service for children and family,ambulant,privately owned
167,"HUGOLD, n.o., Rastislavova 1365/27, 075 01 Trebišov, IčO: 50344145",denný stacionár,Fyzická osoba s telesným postihnutím; Fyzické osoby s demenciou; Seniori,"M.R.Štefánika 2368/176, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,20,NULL,NULL,NULL,Mgr. Martin Dzielavský,Mgr. Štefan Brezina,22/09/2016 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,privately owned
105,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Mlynská 26, 04014 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,ambulant,privately owned
625,"Oáza - nádej pre nový život, n. o. Oasis of Hope for new life, non for profit organisation, Záhrada Bernátovce 779, 040 17 Košice-Barca, IčO: 35581697",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Záhrada Bernátovce 779, 04017 Košice-Barca",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Peter Gomgita,Mgr. Peter Gombita,23/12/2009 00:00,NULL,Košice,Košice,support for independent housing,ambulant,privately owned
168,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",požičiavanie pomôcok,Zdravotne postihnutí občania,"Južná trieda 1549/2, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Katarína Seidlová,01/07/2009 00:00,NULL,Košice,Košice,rental of devices,ambulant,privately owned
593,"Facilitas n.o., Spišské nám. 2400/4, 04012 Košice-Nad jazerom, IčO: 31256503",rehabilitačné stredisko,Zdravotne postihnutí občania,"Spišské Námestie 2400/4, 04012 Košice-Nad jazerom",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,10,NULL,NULL,NULL,PhDr. Monika Piliarová,PhDr. Monika Piliarová,08/07/2009 00:00,NULL,Košice,Košice,rehabilitation centre,ambulant,privately owned
680,"Združenie príbuzných a priateľov Rados, Rastislavova 749/12, 040 11 Košice-Juh, IčO: 31262848",rehabilitačné stredisko,Fyzická osoba so schizofréniou; Fyzické osoby s poruchami správania,"Bauerova 1, 04023 Košice-Sídlisko KVP",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,18,NULL,NULL,NULL,Mgr. Drahoslava Kleinová,Mgr. Vladislav Klein,20/07/2009 00:00,NULL,Košice,Košice,rehabilitation centre,ambulant,privately owned
790,"Mazáková Lenka, Pri hati 3580/6, 040 01 Košice-Sídlisko ahanovce",služba na podporu zosúlaĎovania rodinného života a pracovného života,Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - rodič s dieaom,"ahanovská 74, 04001 Košice-ahanovce",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,4,NULL,NULL,NULL,NULL,PaedDr. Lenka Mazáková,24/05/2021 00:00,NULL,Košice,Košice,support of balance between work and family life,ambulant,privately owned
86,"Centrum včasnej intervencie Košice, n. o., Jarná 1163/3, 040 01 Košice-Staré Mesto, IčO: 50291467",služba včasnej intervencie,Rodiny s demi; Zdravotne postihnutí občania,"Komenského 3, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Simona Šimková,Mgr. Tatiana Iglaiová,22/07/2016 00:00,NULL,Košice,Košice,early intervention service,ambulant,privately owned
68,"LUX, n. o., Opatovská cesta 1783/97, 040 01 Košice-Vyšné Opátske, IčO: 35581352",domov sociálnych služieb,Fyzická osoba s mentálnym postihnutím; Fyzická osoba s telesným postihnutím; Fyzická osoba so schizofréniou,"Opatovská 97, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,80,NULL,NULL,NULL,Mgr. Richard Schneider,PhDr. Štefánia Stollárová,14/07/2009 00:00,NULL,Košice,Košice,home of social services,residential,privately owned
587,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",nocľaháreň,Občania v krízovej situácii,"Fialkova 592/3, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,26,NULL,NULL,NULL,Ing. Cyril Korpesio,PhDr. Soňa Hlaváčová PhD.,01/07/2009 00:00,NULL,Košice,Košice,Dormitory room,residential,privately owned
322,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",nocľaháreň,Občania v krízovej situácii,"Bosákova 1, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,50,NULL,NULL,NULL,Ing. Cyril Korpesio,PhDr. Soňa Hlaváčová PhD.,01/07/2009 00:00,NULL,Košice,Košice,Dormitory room,residential,privately owned
411,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",práčovňa,Občania v krízovej situácii,"Obchodná 38, 076 35 Somotor",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Adriana Ogou,Mgr. Ladislav Rovinský,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,laundry,ambulant,privately owned
112,"MIESTO POD SLNKOM n.o., Hlavná 37/68, 040 01 Košice-Staré Mesto, IčO: 31256511",sociálne poradenstvo - špecializované,Rodiny s demi,"Hlavná 37/68, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Beáta Rybárová,Mgr. Beáta Rybárová,07/07/2009 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
61,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",sociálne poradenstvo - špecializované,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec; Zdravotne postihnutí občania,"Komenského 1096/19, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Lucia Karoľová,17/08/2009 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
265,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",sociálne poradenstvo - špecializované,Občania v krízovej situácii,"Bočná 417/2, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Jana Kováčiková,01/07/2009 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
214,"Teresa Benedicta, Námestie Jána Pavla II. 6073/7, 071 01 Michalovce, IčO: 31313680",domov sociálnych služieb,Zdravotne postihnutí občania,"Paričovská 2745/116, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,19,NULL,NULL,NULL,Peter Novysedlák,Mgr.Ján Varga,03/07/2009 00:00,NULL,Trebišov,Trebišov,home of social services,residential,privately owned
467,"SVETIELKO POMOCI n.o., Pražská 541/8, 040 11 Košice-Západ, IčO: 45736171",sociálne poradenstvo - špecializované,Rodina (jednotlivec) s maloletým dieaom,"Pražská 4, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Miroslava Hunčíková,Mgr. Zdenka Behunová,10/08/2011 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
541,"CASSOVIA ACADEMICA, Alžbetina 666/28, 040 01 Košice-Staré Mesto, IčO: 42096090",sociálne poradenstvo - špecializované,Občania v krízovej situácii; Rodiny s demi; Seniori; Seniori,"Alžbetina 28, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,JUDr. Judita Kántorová,PhDr. Jozef Vorobel PhD.,30/09/2015 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
491,"Sv. Helena n.o., Jaltská 771/7, 040 22 Košice-Dargovských hrdinov, IčO: 45746141",denný stacionár,Seniori; Zdravotne postihnutí občania,"Komenského 37A, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,20,NULL,NULL,NULL,Bc. Marek Srňanský,Mgr. Lenka Kovaľová,25/09/2015 00:00,NULL,Košice,Košice,daily stationary,ambulant,privately owned
641,"Facilitas n.o., Spišské nám. 2400/4, 04012 Košice-Nad jazerom, IčO: 31256503",sociálne poradenstvo - špecializované,Občania v krízovej situácii; Rodiny s demi; Seniori; Zdravotne postihnutí občania,"Spišské námestie 4, 04012 Košice-Nad jazerom",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Monika Piliarová,PhDr.Monika Piliarová,08/07/2009 00:00,NULL,Košice,Košice,social counselling - specialized,ambulant,privately owned
38,"Filia nezisková organizácia, Trieda SNP 446/3, 040 11 Košice-Západ, IčO: 35506130",sociálne poradenstvo - základné,Občania v krízovej situácii; Rodiny s demi; Seniori; Zdravotne postihnutí občania,"Trieda SNP 3, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Ladislav Leško,Mgr. Ladislav Leško,03/07/2009 00:00,NULL,Košice,Košice,social counselling - basic,ambulant,privately owned
220,"Cesta nádeje, Mlynská 874/23, 040 01 Košice-Staré Mesto, IčO: 35551852",špecializované zariadenie,Fyzická osoba s Alzheimerovou chorobou;  fyzická osoba s demenciou;  fyzická osoba s organickým psychosyndrómom; Fyzická osoba s Parkinsonovou chorobou,"Urbánkova 1, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,10,NULL,NULL,NULL,MUDr. Zuzana Katreniaková PhD.,Mgr. Marta Nemčíková,14/12/2010 00:00,NULL,Košice,Košice,specialized institutions,ambulant,privately owned
331,"Slovenský červený kríž, územný spolok Trebišov, M. R. Štefánika 2368/176, 075 01 Trebišov, IčO: 00416274",špecializované zariadenie,Fyzická osoba – hluchoslepá; Fyzická osoba nepočujúca; Fyzická osoba s Parkinsonovou chorobou; Fyzická osoba s telesným postihnutím; Fyzická osoba so schizofréniou; Fyzická osoba so zrakovým postihnutím; Fyzické osoby drogovo závislé;  resp. závislé od iných návykových látok; Fyzické osoby s Alzheimerovou chorobou; Fyzické osoby s demenciou; Fyzické osoby s organickým psychosyndrómom,"Konečná 1794/5, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,12,NULL,NULL,NULL,Mgr. Zuzana Bocsár Hajduová,Mgr. Anna Šikyňová,07/07/2009 00:00,NULL,Trebišov,Trebišov,specialized institutions,residential,privately owned
332,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",stredisko osobnej hygieny,Občania v krízovej situácii,"Obchodná 38, 076 35 Somotor",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Adriana Ogou,Mgr. Ladislav Rovinský,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,personal hygiene centre,ambulant,privately owned
549,"KC ANEPS Košice, Kováčska  65 - 67, 04001 Košice-Staré Mesto, IčO: 42332206",tlmočnícka služba,Fyzická osoba nepočujúca,"Kováčská 294/65, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Renáta Milkovičová,Renáta Milkovičová,15/01/2015 00:00,NULL,Košice,Košice,translators,ambulant,privately owned
317,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",domov sociálnych služieb,Fyzická osoba s mentálnym postihnutím; Fyzická osoba s telesným postihnutím,"Komenského 1096/19, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,25,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,home of social services,ambulant,privately owned
85,"PLYŠOVÝ MEDVEDÍK, Sklepárska 401/4A, 040 15 Košice-Poľov, IčO: 42331668",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Husárska 1714/4, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,15,NULL,NULL,NULL,Martina Dragunová,Martina Dragunová,09/03/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
108,"Magisterium n.o., Záhradná 647/11A, 044 71 čečejovce, IčO: 42052751",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Lidické námestie 18, 04022 Košice-Dargovských hrdinov",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,20,NULL,NULL,NULL,Mgr. Eva Baranko Hajduková,Mgr. Eva Baranko Hajduková,07/02/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
130,"Súkromné detské jasle s.r.o., Mánesova 1889/23, 040 01 Košice-Sever, IčO: 43859534",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Mánesová 23/1889, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,15,NULL,NULL,NULL,MVDr. Peter čulen,MVDr. Peter čulen,04/12/2019 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
312,"Občianske združenie pri detských jasliach VčIELKA, Hlavná 68/10, 044 12 Nižný Klátov, IčO: 42405653",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Slovenskej jednoty 1776/8, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,15,NULL,NULL,NULL,Mgr. Lucia Olenyáková,Mgr. Lucia Olenyáková,18/06/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
443,"OZ Jasličky pre detičky, Haniska 127, 04457 Haniska, IčO: 42325706",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Charkovská 1, 04022 Košice-Dargovských hrdinov",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,12,NULL,NULL,NULL,Mgr. Mária Badliková,Mgr. Mária Badliková,06/12/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
34,"Beruška, Nešporova 279/30, 040 11 Košice-Západ, IčO: 50248103",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Nešporova 279/30, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,15,NULL,NULL,NULL,Ivona Tokárová,Ivona Tokárová,01/03/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
58,"DSC SLONÍK, s.r.o., ahanovské riadky 3690/13, 040 01 Košice-Sever, IčO: 46713590",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Napájadla 2768/18, 04012 Košice-Nad jazerom",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,20,NULL,NULL,NULL,Ivona Tokárová,Ivona Tokárová,05/02/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
109,"Zariadenie opatrovateľskej služby Jesienka, nezisková organizácia, Turgenevova 1708/9, 040 01 Košice-Juh, IčO: 35581271",špecializované zariadenie,Fyzická osoba s inými špecifickými ochoreniami; Fyzická osoba s Parkinsonovou chorobou; Fyzická osoba so schizofréniou; Fyzické osoby s Alzheimerovou chorobou; Fyzické osoby s demenciou; Fyzické osoby s organickým psychosyndrómom; Fyzické osoby s poruchami správania,"Turgenevova 1708/9, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,9,NULL,NULL,NULL,Ing. Matúš Kubák,Ing. Anna Kubáková,14/08/2009 00:00,NULL,Košice,Košice,specialized institutions,residential,privately owned
499,"Slovenský červený kríž, územný spolok Trebišov, M. R. Štefánika 2368/176, 075 01 Trebišov, IčO: 00416274",špecializované zariadenie,Fyzická osoba – hluchoslepá; Fyzická osoba nepočujúca; Fyzická osoba s Parkinsonovou chorobou; Fyzická osoba s telesným postihnutím; Fyzická osoba so schizofréniou; Fyzická osoba so zrakovým postihnutím; Fyzické osoby drogovo závislé;  resp. závislé od iných návykových látok; Fyzické osoby s Alzheimerovou chorobou; Fyzické osoby s demenciou; Fyzické osoby s organickým psychosyndrómom,"Hviezdoslavova 3203/1, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,15,NULL,NULL,NULL,Mgr. Zuzana Bocsár Hajduová,Mgr. Anna Šikyňová,07/07/2009 00:00,NULL,Trebišov,Trebišov,specialized institutions,residential,privately owned
385,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",nocľaháreň,Občania v krízovej situácii,"Poľná 1, 04014 Košice-Košická Nová Ves",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,20,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Miroslav Firda,01/07/2009 00:00,NULL,Košice,Košice,Dormitory room,residential,privately owned
198,"MEDVEDÍK, Kmeova 1537/28, 040 01 Košice-Staré Mesto, IčO: 45005401",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Kmeova 1537/28, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,15,NULL,NULL,NULL,Martina Dragunová,Martina Dragunová,13/06/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
565,"Medvedíky, Charkovská 690/10, 040 22 Košice-Dargovských hrdinov, IčO: 42102456",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Ovručská 14, 04022 Košice-Dargovských hrdinov",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,NULL,NULL,NULL,NULL,Bc. Monika Takáčová,Bc. Monika Takáčová,17/08/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
575,"D § D Košice s.r.o., Omská 985/13, 040 01 Košice-Juh, IčO: 45994391",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Myslavská 37/53, 04016 Košice-Myslava",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,12,NULL,NULL,NULL,Bc. Deana Martoníková,Ing. Demetria Martoníková,08/10/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
398,"VVAUVV, s.r.o., Sibírska 4/7429, 080 01 Prešov, IčO: 52057658",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Zuzkin Park 6, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,21,NULL,NULL,NULL,Lucia Diškantová,Mgr. Mária Tomaszová,08/04/2019 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
714,"Detský klub zdravotne postihnutých detí a mládeže v Košiciach, ahanovské riadky 308/23, 040 01 Košice-Sever, IčO: 31986901",domov sociálnych služieb,Fyzická osoba s telesným postihnutím,"ahanovské riadky 308/23, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,25,NULL,NULL,NULL,Ing. Dagmar Kozáková,MUDr. Marcela Strhárska,24/07/2009 00:00,NULL,Košice,Košice,home of social services,ambulant,privately owned
154,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",denný stacionár,Seniori,"Južná trieda 1549/2, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,25,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Katarína Seidlová,01/07/2009 00:00,NULL,Košice,Košice,daily stationary,ambulant,privately owned
725,"Klub Forresta Gumpa, n.o. angl: Club Forrest Gump, n.o., Kvetná 316/16, 040 15 Košice-Šaca, IčO: 45737584",denný stacionár,Zdravotne postihnutí občania,"Užhorodská 8, 04011 Košice-Juh",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,16,NULL,NULL,NULL,Ing. Lucia Tažiková,Ing. Lucia Tažiková,20/08/2013 00:00,NULL,Košice,Košice,daily stationary,ambulant,privately owned
