id,trail_id,name,trail_length_km,colour,hex_code,administrator,uri,description,copyright
-1215090,8724,"Čermeľská dolina, rázcestie - Pod starou Jahodnou",2.4,yellow,#FFFF00,KST,https://turistika.oma.sk/8724,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8724'>Čermeľská dolina, rázcestie - Pod starou Jahodnou</a></h2>dĺžka 2,4&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8724,  <a target='_BLANK' href='https://turistika.oma.sk/8724' title='všetky informácie o trase Čermeľská dolina, rázcestie - Pod starou Jahodnou'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-5758196,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-5758196,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-5758196'>žltá turistika</a></h2>dĺžka 5,2&nbsp;km <img src='https://data.oma.sk/img/turistika-local-yellow.png' alt='marker symbol turistika local yellow' width='30' height='30' />,  <a target='_BLANK' href='https://turistika.oma.sk/-5758196' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3330746,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-3330746,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3330746'>žltá turistika</a></h2>dĺžka 1,66&nbsp;km spravuje Združenie rozvoja cestovného ruchu Čierna hora,  <a target='_BLANK' href='https://turistika.oma.sk/-3330746' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-905851,8778,Ružín - Sivec,6.5,yellow,#FFFF00,KST,https://turistika.oma.sk/8778,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8778'>Ružín - Sivec</a></h2>dĺžka 6,5&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8778,  <a target='_BLANK' href='https://turistika.oma.sk/8778' title='všetky informácie o trase Ružín - Sivec'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-937130,5714a,"Girbeš - Košice, Nové Mesto",3.5,green,#00FF00,KST,https://turistika.oma.sk/5714a,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5714a'>Girbeš - Košice, Nové Mesto</a></h2>dĺžka 3,5&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5714a,  <a target='_BLANK' href='https://turistika.oma.sk/5714a' title='všetky informácie o trase Girbeš - Košice, Nové Mesto'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-540340,0901l,"Kysak - Radatice, kostol",15,red,#FF0000,KST,https://turistika.oma.sk/0901l,"<h2><a target='_BLANK' href='https://turistika.oma.sk/0901l'>Kysak - Radatice, kostol</a></h2>dĺžka 15,0&nbsp;km <img src='https://data.oma.sk/img/turistika-major-red.png' alt='marker symbol turistika major red' width='30' height='30' />, spravuje KST, číslo trasy 0901l,  <a target='_BLANK' href='https://turistika.oma.sk/0901l' title='všetky informácie o trase Kysak - Radatice, kostol'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3399657,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-3399657,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3399657'>žltá turistika</a></h2>dĺžka 4,2&nbsp;km <img src='https://data.oma.sk/img/turistika-local-yellow.png' alt='marker symbol turistika local yellow' width='30' height='30' />, spravuje Združenie rozvoja cestovného ruchu Čierna hora,  <a target='_BLANK' href='https://turistika.oma.sk/-3399657' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-1242604,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-1242604,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-1242604'>žltá turistika</a></h2>dĺžka 24&nbsp;m <img src='https://data.oma.sk/img/turistika-spring-yellow.png' alt='marker symbol turistika spring yellow' width='30' height='30' />, spravuje KST,  <a target='_BLANK' href='https://turistika.oma.sk/-1242604' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3081238,,červená turistika,1.63,red,#FF0000,KST,https://turistika.oma.sk/-3081238,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3081238'>červená turistika</a></h2>dĺžka 1,98&nbsp;km <img src='https://data.oma.sk/img/turistika-local-red.png' alt='marker symbol turistika local red' width='30' height='30' />,  <a target='_BLANK' href='https://turistika.oma.sk/-3081238' title='všetky informácie o trase červená turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-10803872,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-10803872,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-10803872'>žltá turistika</a></h2>dĺžka 5,8&nbsp;km <img src='https://data.oma.sk/img/turistika-local-yellow.png' alt='marker symbol turistika local yellow' width='30' height='30' />,  <a target='_BLANK' href='https://turistika.oma.sk/-10803872' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-937833,5744,Kuzmice - Skároš,21,green,#00FF00,KST,https://turistika.oma.sk/5744,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5744'>Kuzmice - Skároš</a></h2>dĺžka 21&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5744,  <a target='_BLANK' href='https://turistika.oma.sk/5744' title='všetky informácie o trase Kuzmice - Skároš'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3735258,c,Margita,2.4,green,#00FF00,,https://turistika.oma.sk/-3735258,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3735258'>Margita</a></h2>dĺžka 2,4&nbsp;km číslo trasy c,  <a target='_BLANK' href='https://turistika.oma.sk/-3735258' title='všetky informácie o trase Margita'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-908142,5715a,Sedlo pod Suchým vrchom - Sedlo Repy,20,green,#00FF00,KST,https://turistika.oma.sk/5715a,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5715a'>Sedlo pod Suchým vrchom - Sedlo Repy</a></h2>dĺžka 20&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5715a,  <a target='_BLANK' href='https://turistika.oma.sk/5715a' title='všetky informácie o trase Sedlo pod Suchým vrchom - Sedlo Repy'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3330747,4,Krajinný chodník,20,green,#00FF00,Združenie rozvoja cestovného ruchu Čierna hora,https://turistika.oma.sk/-3330747,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3330747'>Krajinný chodník</a></h2>dĺžka 20&nbsp;km <img src='https://data.oma.sk/img/turistika-local-green.png' alt='marker symbol turistika local green' width='30' height='30' />, spravuje Združenie rozvoja cestovného ruchu Čierna hora, číslo trasy 4,  <a target='_BLANK' href='https://turistika.oma.sk/-3330747' title='všetky informácie o trase Krajinný chodník'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-934951,2839,Vyšný Klátov - Chata na Jahodnej,3.6,blue,#0000FF,KST,https://turistika.oma.sk/2839,"<h2><a target='_BLANK' href='https://turistika.oma.sk/2839'>Vyšný Klátov - Chata na Jahodnej</a></h2>dĺžka 3,6&nbsp;km <img src='https://data.oma.sk/img/turistika-major-blue.png' alt='marker symbol turistika major blue' width='30' height='30' />, spravuje KST, číslo trasy 2839,  <a target='_BLANK' href='https://turistika.oma.sk/2839' title='všetky informácie o trase Vyšný Klátov - Chata na Jahodnej'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-552221,5741,"Sedlo pod Kamenným hrbom - Diana, poľov. chata",8.8,green,#00FF00,KST,https://turistika.oma.sk/5741,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5741'>Sedlo pod Kamenným hrbom - Diana, poľov. chata</a></h2>dĺžka 8,8&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5741,  <a target='_BLANK' href='https://turistika.oma.sk/5741' title='všetky informácie o trase Sedlo pod Kamenným hrbom - Diana, poľov. chata'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-12096098,,NCH lesopark Ťahanovce,1.94,green,#00FF00,Mestské lesy Košice,https://turistika.oma.sk/-12096098,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-12096098'>NCH lesopark Ťahanovce</a></h2>dĺžka 1,94&nbsp;km <img src='https://data.oma.sk/img/turistika-education-green.png' alt='marker symbol turistika education green' width='30' height='30' />, spravuje Mestské lesy Košice,  <a target='_BLANK' href='https://turistika.oma.sk/-12096098' title='všetky informácie o trase NCH lesopark Ťahanovce'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-6046457,b,Orechový les,4.4,blue,#0000FF,,https://turistika.oma.sk/-6046457,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-6046457'>Orechový les</a></h2>dĺžka 4,4&nbsp;km číslo trasy b,  <a target='_BLANK' href='https://turistika.oma.sk/-6046457' title='všetky informácie o trase Orechový les'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-1460164,5715b,Sedlo Repy - Chata na Jahodnej,8.7,green,#00FF00,KST,https://turistika.oma.sk/5715b,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5715b'>Sedlo Repy - Chata na Jahodnej</a></h2>dĺžka 8,7&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5715b,  <a target='_BLANK' href='https://turistika.oma.sk/5715b' title='všetky informácie o trase Sedlo Repy - Chata na Jahodnej'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-938850,5890,Zemplínska Teplica - Maliniak,11.2,green,#00FF00,KST,https://turistika.oma.sk/5890,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5890'>Zemplínska Teplica - Maliniak</a></h2>dĺžka 11,2&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5890,  <a target='_BLANK' href='https://turistika.oma.sk/5890' title='všetky informácie o trase Zemplínska Teplica - Maliniak'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-1344819,5749,"Obišovce, stanica - Ľubovec",9.5,green,#00FF00,KST,https://turistika.oma.sk/5749,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5749'>Obišovce, stanica - Ľubovec</a></h2>dĺžka 9,5&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5749,  <a target='_BLANK' href='https://turistika.oma.sk/5749' title='všetky informácie o trase Obišovce, stanica - Ľubovec'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-13600107,,červená turistika,1.63,red,#FF0000,KST,https://turistika.oma.sk/-13600107,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-13600107'>červená turistika</a></h2>dĺžka 28&nbsp;m <img src='https://data.oma.sk/img/turistika-spring-red.png' alt='marker symbol turistika spring red' width='30' height='30' />, spravuje KST,  <a target='_BLANK' href='https://turistika.oma.sk/-13600107' title='všetky informácie o trase červená turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3735257,a,Radar,6.5,red,#FF0000,,https://turistika.oma.sk/-3735257,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3735257'>Radar</a></h2>dĺžka 6,5&nbsp;km číslo trasy a,  <a target='_BLANK' href='https://turistika.oma.sk/-3735257' title='všetky informácie o trase Radar'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-4175886,,P▲ (Csata-réti eh. – Pusztafalu),4.9,red,#FF0000,,https://turistika.oma.sk/-4175886,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-4175886'>P▲ (Csata-réti eh. – Pusztafalu)</a></h2>dĺžka 4,9&nbsp;km  <a target='_BLANK' href='https://turistika.oma.sk/-4175886' title='všetky informácie o trase P▲ (Csata-réti eh. – Pusztafalu)'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-942472,0901j,"Košice, Čermeľ - Sedlo Repy",11.4,red,#FF0000,KST,https://turistika.oma.sk/0901j,"<h2><a target='_BLANK' href='https://turistika.oma.sk/0901j'>Košice, Čermeľ - Sedlo Repy</a></h2>dĺžka 11,4&nbsp;km <img src='https://data.oma.sk/img/turistika-major-red.png' alt='marker symbol turistika major red' width='30' height='30' />, spravuje KST, číslo trasy 0901j,  <a target='_BLANK' href='https://turistika.oma.sk/0901j' title='všetky informácie o trase Košice, Čermeľ - Sedlo Repy'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-11623287,,Lemešanská špacírka,6.1,red,#FF0000,Záhrada pohybu,https://turistika.oma.sk/-11623287,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-11623287'>Lemešanská špacírka</a></h2>dĺžka 9,1&nbsp;km spravuje Záhrada pohybu,  <a target='_BLANK' href='https://turistika.oma.sk/-11623287' title='všetky informácie o trase Lemešanská špacírka'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-1069966,2856,"Brezina - Čatorňa, štátna hranica",7.6,blue,#0000FF,KST,https://turistika.oma.sk/2856,"<h2><a target='_BLANK' href='https://turistika.oma.sk/2856'>Brezina - Čatorňa, štátna hranica</a></h2>dĺžka 7,6&nbsp;km <img src='https://data.oma.sk/img/turistika-major-blue.png' alt='marker symbol turistika major blue' width='30' height='30' />, spravuje KST, číslo trasy 2856,  <a target='_BLANK' href='https://turistika.oma.sk/2856' title='všetky informácie o trase Brezina - Čatorňa, štátna hranica'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-941400,0901k,Sedlo Repy - Kysak,8,red,#FF0000,KST,https://turistika.oma.sk/0901k,"<h2><a target='_BLANK' href='https://turistika.oma.sk/0901k'>Sedlo Repy - Kysak</a></h2>dĺžka 8,0&nbsp;km <img src='https://data.oma.sk/img/turistika-major-red.png' alt='marker symbol turistika major red' width='30' height='30' />, spravuje KST, číslo trasy 0901k,  <a target='_BLANK' href='https://turistika.oma.sk/0901k' title='všetky informácie o trase Sedlo Repy - Kysak'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-446558,2815,"Košice, Čermeľ - Veľká Lodina",18,blue,#0000FF,KST,https://turistika.oma.sk/2815,"<h2><a target='_BLANK' href='https://turistika.oma.sk/2815'>Košice, Čermeľ - Veľká Lodina</a></h2>dĺžka 18&nbsp;km <img src='https://data.oma.sk/img/turistika-major-blue.png' alt='marker symbol turistika major blue' width='30' height='30' />, spravuje KST, číslo trasy 2815,  <a target='_BLANK' href='https://turistika.oma.sk/2815' title='všetky informácie o trase Košice, Čermeľ - Veľká Lodina'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-905852,2821a,"Richnava, zastávka - Ružín, zastávka",22,blue,#0000FF,KST,https://turistika.oma.sk/2821a,"<h2><a target='_BLANK' href='https://turistika.oma.sk/2821a'>Richnava, zastávka - Ružín, zastávka</a></h2>dĺžka 22&nbsp;km <img src='https://data.oma.sk/img/turistika-major-blue.png' alt='marker symbol turistika major blue' width='30' height='30' />, spravuje KST, číslo trasy 2821a,  <a target='_BLANK' href='https://turistika.oma.sk/2821a' title='všetky informácie o trase Richnava, zastávka - Ružín, zastávka'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-2866943,okt,"K, OKT 27. (Nagy-nyugodó (Sátoraljaújhely) – Hollóháza)",45,ine,#ffc0cb,,https://turistika.oma.sk/-2866943,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-2866943'>K, OKT 27. (Nagy-nyugodó (Sátoraljaújhely) – Hollóháza)</a></h2>dĺžka 45&nbsp;km číslo trasy okt,  <a target='_BLANK' href='https://turistika.oma.sk/okt' title='všetky informácie o trase K, OKT 27. (Nagy-nyugodó (Sátoraljaújhely) – Hollóháza)'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-5513570,e4,E4 európai hosszútávú turistaút (Mo.-i szakasz),523,ine,#ffc0cb,European Ramblers Association,https://turistika.oma.sk/e4,"<h2><a target='_BLANK' href='https://turistika.oma.sk/e4'>E4 európai hosszútávú turistaút (Mo.-i szakasz)</a></h2>dĺžka 523&nbsp;km spravuje European Ramblers Association, číslo trasy e4, <a class='url' href='http://www.era-ewv-ferp.com' target='_BLANK' rel='nofollow'>webstránka</a>, názvy: Europäischer Fernwanderweg E4,  Ungarn, European long distance path E4 - part Hungary <a target='_BLANK' href='https://turistika.oma.sk/-5513570' title='všetky informácie o trase E4 európai hosszútávú turistaút (Mo.-i szakasz)'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
