level_0,index,distance_km,distance_m,duration_h,duration_m,end_location,from_a,geocoder_status,id_cb,partial_match,place_id,start_location,to_b,types
5,0,100 km,100323,1 hour 20 mins,4808,"{'lat': 48.3344578, 'lng': 21.8294407}","044 81 Obišovce, Slovakia",OK,1,NULL,ChIJCShAGGHvPkcRIEiXxtH3AAQ,"{'lat': 48.8619214, 'lng': 21.2381107}","Pácin, Európa u. 7, 3964 Hungary",locality
32,0,13.5 km,13479,12 mins,726,"{'lat': 48.4255193, 'lng': 21.6571488}","076 15 Hrčeľ, Slovakia",OK,10,NULL,ChIJs_2RhIDTOEcREG-XxtH3AAQ,"{'lat': 48.5228001, 'lng': 21.6879165}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
6,0,98.7 km,98710,1 hour 24 mins,5055,"{'lat': 48.3344578, 'lng': 21.8294407}","044 31 Sokoľ, Slovakia",OK,1,NULL,ChIJ07jXBzfkPkcRcEmXxtH3AAQ,"{'lat': 48.8134089, 'lng': 21.219625}","Pácin, Európa u. 7, 3964 Hungary",locality
50,0,19.3 km,19303,17 mins,1015,"{'lat': 48.4255193, 'lng': 21.6571488}","076 16 Zemplínska Nová Ves, Slovakia",OK,10,NULL,ChIJifs3q9TUOEcRIQHYsL71Kgo,"{'lat': 48.5769724, 'lng': 21.6680537}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
7,0,58.2 km,58167,1 hour 3 mins,3775,"{'lat': 48.3344578, 'lng': 21.8294407}","044 14 Čaňa, Slovakia",OK,1,NULL,ChIJF2wUr0whP0cRUEWXxtH3AAQ,"{'lat': 48.6070779, 'lng': 21.3248705}","Pácin, Európa u. 7, 3964 Hungary",locality
68,0,6.0 km,5997,7 mins,429,"{'lat': 48.3491367, 'lng': 21.7385933}","076 31 Klin nad Bodrogom, Slovakia",OK,3,NULL,ChIJ5b3pFxDPOEcRcByXxtH3AAQ,"{'lat': 48.38402869999999, 'lng': 21.7245537}","3686, 076 31 Streda nad Bodrogom, Slovakia",locality
8,0,117 km,117328,2 hours 1 min,7258,"{'lat': 48.3344578, 'lng': 21.8294407}","044 81 Veľká Lodina, Slovakia",OK,1,NULL,ChIJnb6rjkHlPkcREEqXxtH3AAQ,"{'lat': 48.859691, 'lng': 21.1566}","Pácin, Európa u. 7, 3964 Hungary",locality
33,0,21.5 km,21485,20 mins,1176,"{'lat': 48.4255193, 'lng': 21.6571488}","076 02 Kašov, Slovakia",OK,10,NULL,ChIJF3LaO1zROEcR0UGn2P-GttI,"{'lat': 48.4905361, 'lng': 21.7424947}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
9,0,96.2 km,96150,1 hour 21 mins,4861,"{'lat': 48.3344578, 'lng': 21.8294407}","044 31 Kostoľany nad Hornádom, Slovakia",OK,1,NULL,ChIJC9idzLHmPkcR0JOXxtH3AAQ,"{'lat': 48.7979011, 'lng': 21.2417211}","Pácin, Európa u. 7, 3964 Hungary",locality
70,0,15.8 km,15753,17 mins,1008,"{'lat': 48.4255193, 'lng': 21.6571488}","076 36 Malý Kamenec, Slovakia",OK,10,NULL,ChIJqZby-sbFOEcRQHCXxtH3AAQ,"{'lat': 48.3520822, 'lng': 21.7895763}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
10,0,57.6 km,57608,55 mins,3307,"{'lat': 48.3344578, 'lng': 21.8294407}","044 17 Slančík, Slovakia",OK,1,NULL,ChIJX5KcsvPXPkcRADOXxtH3AAQ,"{'lat': 48.6621688, 'lng': 21.4890466}","Pácin, Európa u. 7, 3964 Hungary",locality
71,0,11.6 km,11552,13 mins,789,"{'lat': 48.4255193, 'lng': 21.6571488}","076 31 Streda nad Bodrogom, Slovakia",OK,10,NULL,ChIJJ0VPX2LPOEcRwHqXxtH3AAQ,"{'lat': 48.3795523, 'lng': 21.7579633}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
11,0,62.7 km,62726,1 hour 0 mins,3589,"{'lat': 48.3344578, 'lng': 21.8294407}","044 16 Blažice, Slovakia",OK,1,NULL,ChIJT36RkI7YPkcRwESXxtH3AAQ,"{'lat': 48.6668055, 'lng': 21.4112279}","Pácin, Európa u. 7, 3964 Hungary",locality
41,0,17.2 km,17209,17 mins,1016,"{'lat': 48.5093826, 'lng': 21.6117573}","076 32 Borša, Slovakia",OK,12,NULL,ChIJ_8pRkVPOOEcR91uFAGsl-ck,"{'lat': 48.3953271, 'lng': 21.7071432}","Športová 183, 076 14 Michaľany, Slovakia",locality
12,0,48.1 km,48132,45 mins,2693,"{'lat': 48.3344578, 'lng': 21.8294407}","044 18 Kalša, Slovakia",OK,1,NULL,ChIJ2e8wVrcpP0cRgEaXxtH3AAQ,"{'lat': 48.61325600000001, 'lng': 21.5272425}","Pácin, Európa u. 7, 3964 Hungary",locality
42,0,3.0 km,2984,3 mins,178,"{'lat': 48.5093826, 'lng': 21.6117573}","076 13 Kazimír, Slovakia",OK,12,NULL,ChIJT-ojfJEsP0cRFm7RPNUd348,"{'lat': 48.5269205, 'lng': 21.5840868}","Športová 183, 076 14 Michaľany, Slovakia",locality
13,0,60.9 km,60949,57 mins,3434,"{'lat': 48.3344578, 'lng': 21.8294407}","044 16 Bohdanovce, Slovakia",OK,1,NULL,ChIJM6XednwnP0cR0ESXxtH3AAQ,"{'lat': 48.6565105, 'lng': 21.4011463}","Pácin, Európa u. 7, 3964 Hungary",locality
49,0,5.9 km,5865,8 mins,481,"{'lat': 48.5093826, 'lng': 21.6117573}","076 15 Veľaty, Slovakia",OK,12,NULL,ChIJMVoOqGfTOEcR8HqXxtH3AAQ,"{'lat': 48.5213347, 'lng': 21.6614968}","Športová 183, 076 14 Michaľany, Slovakia",locality
14,0,114 km,114099,1 hour 58 mins,7050,"{'lat': 48.3344578, 'lng': 21.8294407}","044 32 Malá Lodina, Slovakia",OK,1,TRUE,ChIJn6eUZpT6PkcRQEeXxtH3AAQ,"{'lat': 48.8781217, 'lng': 21.1333697}","Pácin, Európa u. 7, 3964 Hungary",locality
65,0,6.6 km,6627,8 mins,481,"{'lat': 48.5093826, 'lng': 21.6117573}","076 13 Byšta, Slovakia",OK,12,NULL,ChIJIazbQWgsP0cRIG6XxtH3AAQ,"{'lat': 48.5306035, 'lng': 21.5410394}","Športová 183, 076 14 Michaľany, Slovakia",locality
15,0,66.9 km,66880,1 hour 3 mins,3776,"{'lat': 48.3344578, 'lng': 21.8294407}","044 15 Nižná Myšľa, Slovakia",OK,1,NULL,ChIJ5bEuk-EmP0cRHRDVUUjrJXk,"{'lat': 48.6258608, 'lng': 21.3635053}","Pácin, Európa u. 7, 3964 Hungary",locality
66,0,3.7 km,3718,4 mins,264,"{'lat': 48.5093826, 'lng': 21.6117573}","076 14 Luhyňa, Slovakia",OK,12,NULL,ChIJnxBS2-HSOEcRAHCXxtH3AAQ,"{'lat': 48.4892938, 'lng': 21.6367137}","Športová 183, 076 14 Michaľany, Slovakia",locality
16,0,63.6 km,63625,1 hour 9 mins,4117,"{'lat': 48.3344578, 'lng': 21.8294407}","044 57 Haniska, Slovakia",OK,1,NULL,ChIJM3BgxQohP0cRIrKOWJFUB44,"{'lat': 48.6157687, 'lng': 21.2539912}","Pácin, Európa u. 7, 3964 Hungary",locality
49,0,14.3 km,14315,13 mins,758,"{'lat': 48.4003727, 'lng': 21.666996}","076 15 Veľaty, Slovakia",OK,8,NULL,ChIJMVoOqGfTOEcR8HqXxtH3AAQ,"{'lat': 48.5213347, 'lng': 21.6614968}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
17,0,66.6 km,66578,1 hour 6 mins,3940,"{'lat': 48.3344578, 'lng': 21.8294407}","044 19 Olšovany, Slovakia",OK,1,NULL,ChIJubPMVSHZPkcRwe8Eq1BRqAU,"{'lat': 48.7049727, 'lng': 21.4122287}","Pácin, Európa u. 7, 3964 Hungary",locality
18,0,74.4 km,74352,1 hour 12 mins,4322,"{'lat': 48.3344578, 'lng': 21.8294407}","044 41 Košická Polianka, Slovakia",OK,1,NULL,ChIJcZwqxz7fPkcR4EaXxtH3AAQ,"{'lat': 48.6928202, 'lng': 21.3477367}","Pácin, Európa u. 7, 3964 Hungary",locality
67,0,19.9 km,19918,20 mins,1183,"{'lat': 48.5093826, 'lng': 21.6117573}","076 31 Viničky, Slovakia",OK,12,NULL,ChIJFZLcOLbPOEcRcHuXxtH3AAQ,"{'lat': 48.3985485, 'lng': 21.7434795}","Športová 183, 076 14 Michaľany, Slovakia",locality
19,0,65.6 km,65623,1 hour 10 mins,4228,"{'lat': 48.3344578, 'lng': 21.8294407}","044 57 Sokoľany, Slovakia",OK,1,NULL,ChIJa38imYchP0cR0IeXxtH3AAQ,"{'lat': 48.6088494, 'lng': 21.2284687}","Pácin, Európa u. 7, 3964 Hungary",locality
2,0,9.3 km,9286,10 mins,595,"{'lat': 48.4003727, 'lng': 21.666996}","076 82 Veľká Tŕňa, Slovakia",OK,8,NULL,ChIJM3u3MEjSOEcRQByXxtH3AAQ,"{'lat': 48.46778399999999, 'lng': 21.6785942}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
20,0,69.0 km,69046,1 hour 13 mins,4374,"{'lat': 48.3344578, 'lng': 21.8294407}","044 58 Seňa, Slovakia",OK,1,NULL,ChIJM0LcHJojP0cRIEmXxtH3AAQ,"{'lat': 48.5587686, 'lng': 21.2570684}","Pácin, Európa u. 7, 3964 Hungary",locality
35,0,8.4 km,8406,10 mins,628,"{'lat': 48.4003727, 'lng': 21.666996}","076 32 Bara, Slovakia",OK,8,NULL,ChIJ02z3xijOOEcRkG2XxtH3AAQ,"{'lat': 48.4281733, 'lng': 21.7164626}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
21,0,67.8 km,67832,1 hour 4 mins,3825,"{'lat': 48.3344578, 'lng': 21.8294407}","044 16 Nižný Čaj, Slovakia",OK,1,NULL,ChIJ9akAUKLYPkcRsEeXxtH3AAQ,"{'lat': 48.6659061, 'lng': 21.3981304}","Pácin, Európa u. 7, 3964 Hungary",locality
30,0,19.4 km,19360,19 mins,1120,"{'lat': 48.4003727, 'lng': 21.666996}","076 02 Kysta, Slovakia",OK,8,NULL,ChIJ91DogfLTOEcRwG-XxtH3AAQ,"{'lat': 48.515171, 'lng': 21.7207349}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
22,0,57.6 km,57606,55 mins,3303,"{'lat': 48.3344578, 'lng': 21.8294407}","044 17 Nový Salaš, Slovakia",OK,1,NULL,ChIJZythrlcoP0cREEiXxtH3AAQ,"{'lat': 48.6114099, 'lng': 21.4742923}","Pácin, Európa u. 7, 3964 Hungary",locality
31,0,20.6 km,20563,18 mins,1064,"{'lat': 48.4003727, 'lng': 21.666996}","076 02 Zemplínsky Branč, Slovakia",OK,8,NULL,ChIJZc9o80TUOEcRE2yQCCVTAVw,"{'lat': 48.54341549999999, 'lng': 21.7218901}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
23,0,54.1 km,54073,51 mins,3047,"{'lat': 48.3344578, 'lng': 21.8294407}","044 17 Slanec, Slovakia",OK,1,NULL,ChIJ79PVnA8oP0cRQEmXxtH3AAQ,"{'lat': 48.6363025, 'lng': 21.4782392}","Pácin, Európa u. 7, 3964 Hungary",locality
37,0,9.5 km,9471,11 mins,650,"{'lat': 48.4003727, 'lng': 21.666996}","076 32 Černochov, Slovakia",OK,8,NULL,ChIJqb98wMHROEcRYG6XxtH3AAQ,"{'lat': 48.4394042, 'lng': 21.7333807}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
24,0,58.5 km,58517,55 mins,3305,"{'lat': 48.3344578, 'lng': 21.8294407}","044 16 Rákoš, Slovakia",OK,1,NULL,ChIJk5q-b5MnP0cRsEiXxtH3AAQ,"{'lat': 48.645437, 'lng': 21.4268465}","Pácin, Európa u. 7, 3964 Hungary",locality
38,0,7.5 km,7493,8 mins,458,"{'lat': 48.4003727, 'lng': 21.666996}","076 81 Čerhov, Slovakia",OK,8,NULL,ChIJcWdETYrSOEcRUG6XxtH3AAQ,"{'lat': 48.461586, 'lng': 21.6406034}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
25,0,50.5 km,50549,48 mins,2873,"{'lat': 48.3344578, 'lng': 21.8294407}","044 18 Slanské Nové Mesto, Slovakia",OK,1,NULL,ChIJ2wYw2rfXPkcRYEmXxtH3AAQ,"{'lat': 48.6294657, 'lng': 21.5238409}","Pácin, Európa u. 7, 3964 Hungary",locality
26,0,67.7 km,67674,1 hour 13 mins,4366,"{'lat': 48.3344578, 'lng': 21.8294407}","044 57 Bočiar, Slovakia",OK,1,NULL,ChIJGzxwmjQiP0cRwIeXxtH3AAQ,"{'lat': 48.5918698, 'lng': 21.2355402}","Pácin, Európa u. 7, 3964 Hungary",locality
27,0,63.0 km,62975,1 hour 1 min,3683,"{'lat': 48.3344578, 'lng': 21.8294407}","044 19 Ruskov, Slovakia",OK,1,NULL,ChIJzx5uKUTYPkcRAEmXxtH3AAQ,"{'lat': 48.6818232, 'lng': 21.432293}","Pácin, Európa u. 7, 3964 Hungary",locality
28,0,59.7 km,59691,58 mins,3488,"{'lat': 48.3344578, 'lng': 21.8294407}","044 17 Slanská Huta, Slovakia",OK,1,NULL,ChIJq3_8zyIpP0cRUEmXxtH3AAQ,"{'lat': 48.59683099999999, 'lng': 21.4669967}","Pácin, Európa u. 7, 3964 Hungary",locality
29,0,65.7 km,65666,1 hour 5 mins,3929,"{'lat': 48.3344578, 'lng': 21.8294407}","044 16 Vyšný Čaj, Slovakia",OK,1,NULL,ChIJAxHHHsDYPkcRVVSkcPpdcaM,"{'lat': 48.68367990000001, 'lng': 21.3993708}","Pácin, Európa u. 7, 3964 Hungary",locality
72,0,15.0 km,15026,15 mins,890,"{'lat': 48.4003727, 'lng': 21.666996}","076 36 Veľký Kamenec, Slovakia",OK,8,NULL,ChIJ3SlBz63FOEcRYHuXxtH3AAQ,"{'lat': 48.3615966, 'lng': 21.8059011}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
30,0,35.0 km,34993,32 mins,1906,"{'lat': 48.3344578, 'lng': 21.8294407}","076 02 Kysta, Slovakia",OK,1,NULL,ChIJ91DogfLTOEcRwG-XxtH3AAQ,"{'lat': 48.515171, 'lng': 21.7207349}","Pácin, Európa u. 7, 3964 Hungary",locality
70,0,8.1 km,8124,9 mins,533,"{'lat': 48.3491367, 'lng': 21.7385933}","076 36 Malý Kamenec, Slovakia",OK,3,NULL,ChIJqZby-sbFOEcRQHCXxtH3AAQ,"{'lat': 48.3520822, 'lng': 21.7895763}","3686, 076 31 Streda nad Bodrogom, Slovakia",locality
31,0,36.3 km,36328,32 mins,1943,"{'lat': 48.3344578, 'lng': 21.8294407}","076 02 Zemplínsky Branč, Slovakia",OK,1,NULL,ChIJZc9o80TUOEcRE2yQCCVTAVw,"{'lat': 48.54341549999999, 'lng': 21.7218901}","Pácin, Európa u. 7, 3964 Hungary",locality
71,0,3.8 km,3837,5 mins,288,"{'lat': 48.3491367, 'lng': 21.7385933}","076 31 Streda nad Bodrogom, Slovakia",OK,3,NULL,ChIJJ0VPX2LPOEcRwHqXxtH3AAQ,"{'lat': 48.3795523, 'lng': 21.7579633}","3686, 076 31 Streda nad Bodrogom, Slovakia",locality
32,0,34.9 km,34909,32 mins,1947,"{'lat': 48.3344578, 'lng': 21.8294407}","076 15 Hrčeľ, Slovakia",OK,1,NULL,ChIJs_2RhIDTOEcREG-XxtH3AAQ,"{'lat': 48.5228001, 'lng': 21.6879165}","Pácin, Európa u. 7, 3964 Hungary",locality
72,0,10.0 km,10035,11 mins,671,"{'lat': 48.3491367, 'lng': 21.7385933}","076 36 Veľký Kamenec, Slovakia",OK,3,NULL,ChIJ3SlBz63FOEcRYHuXxtH3AAQ,"{'lat': 48.3615754, 'lng': 21.805914}","3686, 076 31 Streda nad Bodrogom, Slovakia",locality
33,0,29.4 km,29383,29 mins,1729,"{'lat': 48.3344578, 'lng': 21.8294407}","076 02 Kašov, Slovakia",OK,1,NULL,ChIJF3LaO1zROEcR0UGn2P-GttI,"{'lat': 48.4905361, 'lng': 21.7424947}","Pácin, Európa u. 7, 3964 Hungary",locality
34,0,29.1 km,29098,26 mins,1577,"{'lat': 48.3344578, 'lng': 21.8294407}","076 05 Zemplínske Jastrabie, Slovakia",OK,1,NULL,ChIJw2nTBjDROEcRnw1e__MI2Lo,"{'lat': 48.498037, 'lng': 21.7764395}","Pácin, Európa u. 7, 3964 Hungary",locality
86,0,6.6 km,6552,7 mins,431,"{'lat': 48.5324485, 'lng': 21.2521081}","044 58 Milhosť, Slovakia",OK,32,NULL,ChIJz0P0LaMkP0cR5QA6U2scEFw,"{'lat': 48.5393829, 'lng': 21.2681549}","Milhosť 123, 044 58 Milhosť, Slovakia",locality
35,0,20.8 km,20751,21 mins,1262,"{'lat': 48.3344578, 'lng': 21.8294407}","076 32 Bara, Slovakia",OK,1,NULL,ChIJ02z3xijOOEcRkG2XxtH3AAQ,"{'lat': 48.4281733, 'lng': 21.7164626}","Pácin, Európa u. 7, 3964 Hungary",locality
36,0,23.3 km,23308,19 mins,1111,"{'lat': 48.4255193, 'lng': 21.6571488}","076 17 Čeľovce, Slovakia",OK,10,NULL,ChIJyU5Ki2EqP0cRenCcMgWzVgw,"{'lat': 48.6028631, 'lng': 21.6274274}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
36,0,44.7 km,44738,39 mins,2332,"{'lat': 48.3344578, 'lng': 21.8294407}","076 17 Čeľovce, Slovakia",OK,1,NULL,ChIJyU5Ki2EqP0cRenCcMgWzVgw,"{'lat': 48.6028631, 'lng': 21.6274274}","Pácin, Európa u. 7, 3964 Hungary",locality
37,0,21.8 km,21816,21 mins,1284,"{'lat': 48.3344578, 'lng': 21.8294407}","076 32 Černochov, Slovakia",OK,1,NULL,ChIJqb98wMHROEcRYG6XxtH3AAQ,"{'lat': 48.4394042, 'lng': 21.7333807}","Pácin, Európa u. 7, 3964 Hungary",locality
37,0,12.7 km,12652,14 mins,819,"{'lat': 48.4255193, 'lng': 21.6571488}","076 32 Černochov, Slovakia",OK,10,NULL,ChIJqb98wMHROEcRYG6XxtH3AAQ,"{'lat': 48.4394042, 'lng': 21.7333807}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
38,0,25.9 km,25915,24 mins,1467,"{'lat': 48.3344578, 'lng': 21.8294407}","076 81 Čerhov, Slovakia",OK,1,NULL,ChIJcWdETYrSOEcRUG6XxtH3AAQ,"{'lat': 48.461586, 'lng': 21.6406034}","Pácin, Európa u. 7, 3964 Hungary",locality
40,0,18.6 km,18588,18 mins,1059,"{'lat': 48.3344578, 'lng': 21.8294407}","076 33 Slovenské Nové Mesto, Slovakia",OK,1,NULL,ChIJ7S2pYHPOOEcRcHqXxtH3AAQ,"{'lat': 48.40054019999999, 'lng': 21.669215}","Pácin, Európa u. 7, 3964 Hungary",locality
39,0,35.2 km,35193,33 mins,2002,"{'lat': 48.3344578, 'lng': 21.8294407}","076 03 Hraň, Slovakia",OK,1,NULL,ChIJQ7k1_3zWOEcRAG-XxtH3AAQ,"{'lat': 48.5447147, 'lng': 21.7887945}","Pácin, Európa u. 7, 3964 Hungary",locality
38,0,4.5 km,4486,4 mins,246,"{'lat': 48.4255193, 'lng': 21.6571488}","076 81 Čerhov, Slovakia",OK,10,NULL,ChIJcWdETYrSOEcRUG6XxtH3AAQ,"{'lat': 48.461586, 'lng': 21.6406034}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
42,0,35.6 km,35577,33 mins,2003,"{'lat': 48.3344578, 'lng': 21.8294407}","076 13 Kazimír, Slovakia",OK,1,NULL,ChIJT-ojfJEsP0cRFm7RPNUd348,"{'lat': 48.5269205, 'lng': 21.5840868}","Pácin, Európa u. 7, 3964 Hungary",locality
43,0,32.0 km,31975,30 mins,1778,"{'lat': 48.3344578, 'lng': 21.8294407}","076 03 Sirník, Slovakia",OK,1,NULL,ChIJpx207ubWOEcRUHqXxtH3AAQ,"{'lat': 48.5183876, 'lng': 21.8034735}","Pácin, Európa u. 7, 3964 Hungary",locality
42,0,14.1 km,14147,13 mins,782,"{'lat': 48.4255193, 'lng': 21.6571488}","076 13 Kazimír, Slovakia",OK,10,NULL,ChIJT-ojfJEsP0cRFm7RPNUd348,"{'lat': 48.5269205, 'lng': 21.5840868}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
44,0,36.0 km,36046,36 mins,2160,"{'lat': 48.3344578, 'lng': 21.8294407}","076 14 Lastovce, Slovakia",OK,1,NULL,ChIJjQRP108rP0cR4G-XxtH3AAQ,"{'lat': 48.5393859, 'lng': 21.6285629}","Pácin, Európa u. 7, 3964 Hungary",locality
45,0,39.1 km,39061,35 mins,2102,"{'lat': 48.3344578, 'lng': 21.8294407}","076 01 Kožuchov, Slovakia",OK,1,NULL,ChIJvTYXbwTVOEcRcG-XxtH3AAQ,"{'lat': 48.5658216, 'lng': 21.7249685}","Pácin, Európa u. 7, 3964 Hungary",locality
46,0,42.0 km,41960,38 mins,2284,"{'lat': 48.3344578, 'lng': 21.8294407}","076 01 Zemplínske Hradište, Slovakia",OK,1,NULL,ChIJx0g_fXfVOEcRzBpPDBynbZY,"{'lat': 48.5837704, 'lng': 21.7356619}","Pácin, Európa u. 7, 3964 Hungary",locality
47,0,33.5 km,33547,31 mins,1838,"{'lat': 48.3344578, 'lng': 21.8294407}","076 02 Novosad, Slovakia",OK,1,NULL,ChIJ8x4lUznUOEcRgHCXxtH3AAQ,"{'lat': 48.5252548, 'lng': 21.7412231}","Pácin, Európa u. 7, 3964 Hungary",locality
48,0,8.7 km,8673,9 mins,511,"{'lat': 48.3344578, 'lng': 21.8294407}","076 35 Somotor, Slovakia",OK,1,NULL,ChIJYyKXz0jFOEcRrqnzzvy2bzc,"{'lat': 48.4036921, 'lng': 21.8110298}","Pácin, Európa u. 7, 3964 Hungary",locality
49,0,32.7 km,32738,29 mins,1767,"{'lat': 48.3344578, 'lng': 21.8294407}","076 15 Veľaty, Slovakia",OK,1,NULL,ChIJMVoOqGfTOEcR8HqXxtH3AAQ,"{'lat': 48.5213347, 'lng': 21.6614968}","Pácin, Európa u. 7, 3964 Hungary",locality
68,0,12.4 km,12371,13 mins,795,"{'lat': 48.3344578, 'lng': 21.8294407}","076 31 Klin nad Bodrogom, Slovakia",OK,1,NULL,ChIJ5b3pFxDPOEcRcByXxtH3AAQ,"{'lat': 48.38402869999999, 'lng': 21.7245537}","Pácin, Európa u. 7, 3964 Hungary",locality
50,0,40.7 km,40733,37 mins,2236,"{'lat': 48.3344578, 'lng': 21.8294407}","076 16 Zemplínska Nová Ves, Slovakia",OK,1,NULL,ChIJifs3q9TUOEcRIQHYsL71Kgo,"{'lat': 48.5769724, 'lng': 21.6680537}","Pácin, Európa u. 7, 3964 Hungary",locality
45,0,19.5 km,19483,16 mins,953,"{'lat': 48.4255193, 'lng': 21.6571488}","076 01 Kožuchov, Slovakia",OK,10,NULL,ChIJvTYXbwTVOEcRcG-XxtH3AAQ,"{'lat': 48.5658216, 'lng': 21.7249685}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
51,0,19.9 km,19855,18 mins,1094,"{'lat': 48.3344578, 'lng': 21.8294407}","076 34 Zemplín, Slovakia",OK,1,NULL,ChIJy2vPrWvQOEcR4HuXxtH3AAQ,"{'lat': 48.4389312, 'lng': 21.8123559}","Pácin, Európa u. 7, 3964 Hungary",locality
69,0,15.7 km,15678,14 mins,869,"{'lat': 48.3344578, 'lng': 21.8294407}","076 34 Ladmovce, Slovakia",OK,1,NULL,ChIJJxfGE-PPOEcR0G-XxtH3AAQ,"{'lat': 48.4122298, 'lng': 21.78117}","Pácin, Európa u. 7, 3964 Hungary",locality
52,0,51.7 km,51680,46 mins,2744,"{'lat': 48.3344578, 'lng': 21.8294407}","076 64 Zemplínska Teplica, Slovakia",OK,1,NULL,ChIJAxgEl1zWPkcRAHyXxtH3AAQ,"{'lat': 48.64611619999999, 'lng': 21.5738705}","Pácin, Európa u. 7, 3964 Hungary",locality
70,0,5.0 km,4950,5 mins,290,"{'lat': 48.3344578, 'lng': 21.8294407}","076 36 Malý Kamenec, Slovakia",OK,1,NULL,ChIJqZby-sbFOEcRQHCXxtH3AAQ,"{'lat': 48.3520822, 'lng': 21.7895763}","Pácin, Európa u. 7, 3964 Hungary",locality
