y,mm,var,dim,dd,ksk,ke,ks,tv,sk_hobo,sk_hobo_core
2020,1,Average number of nights spent by visitors,Accommodation establishments in total,20200101,2.3,2.4,2.5,1.9,2.3,2.2
2020,2,Average number of nights spent by visitors,Accommodation establishments in total,20200201,2.4,2.4,2.4,1.5,2.1,2
2020,3,Average number of nights spent by visitors,Accommodation establishments in total,20200301,3.1,3.3,4.8,1.9,3.3,3.4
2020,4,Average number of nights spent by visitors,Accommodation establishments in total,20200401,4.7,5.1,NULL,2.5,3.8,2.5
2020,5,Average number of nights spent by visitors,Accommodation establishments in total,20200501,3.1,2.9,6.7,1.9,3.8,4.3
2020,6,Average number of nights spent by visitors,Accommodation establishments in total,20200601,2.3,2.3,3.7,2.1,2.7,2.9
2020,7,Average number of nights spent by visitors,Accommodation establishments in total,20200701,2.4,2,3.9,2.1,2.7,3
2020,8,Average number of nights spent by visitors,Accommodation establishments in total,20200801,2.4,2,4.4,1.7,2.7,3.1
2020,9,Average number of nights spent by visitors,Accommodation establishments in total,20200901,2.1,1.9,2.9,2.1,2.3,2.5
2020,10,Average number of nights spent by visitors,Accommodation establishments in total,20201001,2.5,2.5,NULL,1.9,2.2,1.9
2020,11,Average number of nights spent by visitors,Accommodation establishments in total,20201101,2.7,2.6,4.1,1.6,2.8,2.9
2020,12,Average number of nights spent by visitors,Accommodation establishments in total,20201201,2.5,2.7,3.6,1.6,2.6,2.6
2021,1,Average number of nights spent by visitors,Accommodation establishments in total,20210101,2.3,2.1,2.7,2.4,2.4,2.6
2021,2,Average number of nights spent by visitors,Accommodation establishments in total,20210201,2.3,2,3.6,2.1,2.6,2.9
2021,3,Average number of nights spent by visitors,Accommodation establishments in total,20210301,2.4,2,3.5,2,2.5,2.8
2021,4,Average number of nights spent by visitors,Accommodation establishments in total,20210401,2.2,1.6,5.5,2.5,3.2,4
2021,5,Average number of nights spent by visitors,Accommodation establishments in total,20210501,2,1.8,4.1,1.7,2.5,2.9
2021,6,Average number of nights spent by visitors,Accommodation establishments in total,20210601,1.9,1.8,2.9,1.7,2.1,2.3
2021,7,Average number of nights spent by visitors,Accommodation establishments in total,20210701,2.5,2,4.2,1.8,2.7,3
2021,8,Average number of nights spent by visitors,Accommodation establishments in total,20210801,2.3,1.9,3.9,1.5,2.4,2.7
2021,9,Average number of nights spent by visitors,Accommodation establishments in total,20210901,NULL,NULL,NULL,NULL,NULL,NULL
2021,10,Average number of nights spent by visitors,Accommodation establishments in total,20211001,NULL,NULL,NULL,NULL,NULL,NULL
2021,11,Average number of nights spent by visitors,Accommodation establishments in total,20211101,NULL,NULL,NULL,NULL,NULL,NULL
2021,12,Average number of nights spent by visitors,Accommodation establishments in total,20211201,NULL,NULL,NULL,NULL,NULL,NULL
