ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw,eu_tour,unwto_oecd_tour
2,0,49390,101,521663,806,8,55992,32558139,1030803752,Ján Vaľa,Malá Lodina,Malá Lodina 72,4481,31/07/2017,09/09/1992,FALSE,SUSR,17/05/2016 21:52,01/08/2017 02:39,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Malá Lodina,Malá Lodina,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,NULL,True,partialy tourism industry,individual transportation industries
2,4,56101,112,521663,806,8,1099151,45987441,2023165474,DaM Refresh s. r. o.,Malá Lodina,Malá Lodina 74,4481,07/12/2020,06/01/2011,FALSE,SUSR,17/05/2016 21:04,08/12/2020 02:18,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Malá Lodina,Malá Lodina,Spol. s r. o.,Limited liability comp.,Jedálne,Eating houses,3-4 zamestnanci,3-4 employees,Súkromné tuzemské,Private inland,3,4,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,NULL,True,partialy tourism industry,catering & food service industries
2,0,49390,101,528153,811,8,1873740,52698661,NULL,Štefan Battyányi,Svätá Mária,Svätá Mária 108,7635,05/11/2019,01/10/2019,FALSE,SUSR,06/11/2019 02:07,06/11/2019 02:07,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Svätá Mária,Svätá Mária,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,1,90020,101,528153,811,8,1626842,50342606,NULL,Gabriel Stromp,Svätá Mária,Svätá Mária 36,7635,14/02/2018,13/05/2016,FALSE,SUSR,17/06/2016 02:05,15/02/2018 03:07,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Svätá Mária,Svätá Mária,Živnostník,Entrepreneur,Podpor.scénické čin.,Supp.act.to perform.arts,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,"Creative, arts and entertainment activities",R90.0,R90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,culture industries
2,0,77210,112,528153,811,8,1836079,52300111,2120979476,TRANS-WORD s.r.o.,Svätá Mária,Pavlovo 57,7635,04/06/2020,02/04/2019,FALSE,SUSR,07/05/2019 02:08,04/06/2020 02:01,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Svätá Mária,Svätá Mária,Spol. s r. o.,Limited liability comp.,Prenájom šport.potrieb,Renting of recreat.goods,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,SK HOBO CORE,Renting and leasing of personal and household goods,N77.2,N77,Rental and leasing activities,N,Administrative and support service activities,FALSE,FALSE,True,NULL,partialy tourism industry,transport equipment rental industries
2,1,56101,101,521205,806,8,1544988,47805927,1078881738,Matúš Hudák,Bohdanovce,Bohdanovce 445,4416,07/12/2020,01/06/2014,FALSE,SUSR,17/05/2016 21:09,08/12/2020 02:26,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Bohdanovce,Bohdanovce,Živnostník,Entrepreneur,Jedálne,Eating houses,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
6,0,93110,701,521205,806,8,174878,31971750,NULL,Slovenský zväz ZO TŠČ - základná organizácia,Bohdanovce,Bohdanovce,4416,29/12/2015,12/11/1991,FALSE,SUSR,17/05/2016 22:04,01/09/2019 14:54,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Bohdanovce,Bohdanovce,"Združenie (zväz,spolok)",Association,Prevádzka šport.zar.,Operat.of sports facilit,nezistený,unknown,"Združ.,p.strany,cirkvi",Ownership of associat.,0,0,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,1,93190,109,521205,806,8,582764,43287166,1031417079,Branislav Sokoli,Bohdanovce,Bohdanovce 225,4416,22/10/2019,04/08/2006,FALSE,SUSR,17/05/2016 22:45,29/10/2019 02:16,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Bohdanovce,Bohdanovce,Živ.a sl.povolanie,"Entrep,freelance ocup.",Ost.športové čin.,Other sports activities,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,2,56101,101,528609,811,8,1830746,52283089,NULL,Viera Nistorová,Nižný Žipov,Chlmecká ulica 329/13,7617,22/10/2019,07/03/2019,FALSE,SUSR,05/04/2019 02:14,29/10/2019 15:41,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Nižný Žipov,Nižný Žipov,Živnostník,Entrepreneur,Jedálne,Eating houses,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,56109,101,528609,811,8,91853,41037391,1048968877,Michal Soltész - MISO,Nižný Žipov,Školská 51,7617,31/07/2017,25/10/2004,FALSE,SUSR,17/05/2016 21:56,01/08/2017 03:09,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Nižný Žipov,Nižný Žipov,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,1,56109,101,528609,811,8,1671925,50648659,NULL,Mgr. Veronika Oláhová - WERONIC CATERING,Nižný Žipov,Tichá ulica 107/8,7617,03/07/2020,01/01/2017,FALSE,SUSR,10/02/2017 08:37,04/07/2020 06:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Nižný Žipov,Nižný Žipov,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,1,56300,110,543730,811,8,402833,33871337,1020694499,Arpád Kačo - MARTINA,Sirník,Hlavná 1/1,7603,06/05/2019,23/02/1995,FALSE,SUSR,17/05/2016 22:28,07/05/2019 02:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Sirník,Sirník,Živ.a sl.povolanie v OR,"Entrep,free.ocup.in BR",Služby pohostinstiev,Beverage serving activ.,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Beverage serving activities,I56.3,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,TRUE,True,NULL,partialy tourism industry,catering & food service industries
2,0,49320,105,522171,806,8,1858125,52360946,NULL,Ondrej Vojtko,Vyšná Hutka,Vyšná Hutka 3,4018,05/08/2019,15/04/2019,FALSE,SUSR,06/08/2019 02:40,06/08/2019 02:40,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Vyšná Hutka,Vyšná Hutka,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,56300,101,522171,806,8,1904995,53018176,NULL,Miroslav Ješko,Vyšná Hutka,Vyšná Hutka 51,4018,07/04/2020,09/03/2020,FALSE,SUSR,12/05/2020 20:38,12/05/2020 20:38,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Vyšná Hutka,Vyšná Hutka,Živnostník,Entrepreneur,Služby pohostinstiev,Beverage serving activ.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Beverage serving activities,I56.3,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,3,49390,112,521370,806,8,1534317,47655739,2024019756,DUSTOUR s.r.o.,Geča,Narcisová 310/16,4410,22/10/2019,01/02/2014,FALSE,SUSR,17/05/2016 23:39,29/10/2019 11:19,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,Spol. s r. o.,Limited liability comp.,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,55200,101,521370,806,8,1729587,51185237,NULL,Ing. Peter Maga - TATRIMEX,Geča,Nová 492/59,4410,03/11/2017,23/10/2017,FALSE,SUSR,05/11/2017 02:07,05/11/2017 02:07,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,Živnostník,Entrepreneur,Turistické ubytovanie,Holliday accommodation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Holiday and other short-stay accommodation,I55.2,I55,Accommodation,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,primary tourism industry,tourism accommodation services
2,3,90040,112,521370,806,8,1497311,47021128,2023745581,TOMMI s.r.o.,Geča,Poľná 8/442,4410,05/02/2019,28/03/2013,FALSE,SUSR,17/05/2016 23:35,06/02/2019 02:49,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,Spol. s r. o.,Limited liability comp.,Prevádzka kultúr.zariad.,Artistic creation,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,SK HOBO CORE,"Creative, arts and entertainment activities",R90.0,R90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,culture industries
2,2,90040,112,521370,806,8,1549933,47790989,2024104654,EMATY s.r.o.,Geča,Poľná 442/8,4410,09/05/2018,04/06/2014,FALSE,SUSR,17/05/2016 23:40,10/05/2018 02:25,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,Spol. s r. o.,Limited liability comp.,Prevádzka kultúr.zariad.,Artistic creation,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,"Creative, arts and entertainment activities",R90.0,R90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,culture industries
2,0,93290,101,521370,806,8,1851387,52490441,1087009913,Mgr. Lenka Eliášová - L - sport&dance,Geča,Obecná 326/88,4410,04/11/2020,20/07/2019,FALSE,SUSR,06/08/2019 02:34,05/11/2020 02:17,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,Živnostník,Entrepreneur,"Ost.zábav,voľnočas.čin.",Oth.amusement act.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Amusement and recreation activities,R93.2,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
6,0,93190,701,521370,806,8,1909711,53051904,NULL,Občianske združenie Fire Services,Geča,Narcisová 352/12,4410,09/06/2020,07/05/2020,FALSE,SUSR,10/06/2020 02:12,10/06/2020 02:12,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,"Združenie (zväz,spolok)",Association,Ost.športové čin.,Other sports activities,nezistený,unknown,"Združ.,p.strany,cirkvi",Ownership of associat.,0,0,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,1,93190,105,521370,806,8,1657572,48340855,NULL,Martin Mižík,Geča,Záhradná 499/28,4410,07/04/2020,01/10/2015,FALSE,SUSR,12/10/2016 02:06,12/05/2020 20:26,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Geča,Geča,FO-slob.povolanie,Freelance occupation,Ost.športové čin.,Other sports activities,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,0,49390,112,521167,806,8,1503241,47101288,2023750465,GIM bus s.r.o.,Belža,Belža 125,4458,05/02/2019,18/04/2013,FALSE,SUSR,17/05/2016 23:36,06/02/2019 02:49,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Belža,Belža,Spol. s r. o.,Limited liability comp.,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,56109,101,521167,806,8,290558,14376318,1031703332,Milan Sajko KARMA,Belža,Belža 44,4458,09/09/2020,07/08/1992,FALSE,SUSR,17/05/2016 22:16,10/09/2020 02:04,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Belža,Belža,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,2,56109,101,528200,811,8,929501,45906840,1081269552,František Kanóc,Brehov,Hlavná 160/85,7605,07/04/2020,13/08/2019,FALSE,SUSR,17/05/2016 23:09,12/05/2020 20:06,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Brehov,Brehov,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,TRUE,True,NULL,partialy tourism industry,catering & food service industries
2,0,90040,101,528200,811,8,1191398,46482148,1077645217,Ing. Ján Sciranko - Riverside,Brehov,Kláštorná 23/4,7605,31/07/2017,01/01/2012,FALSE,SUSR,17/05/2016 23:25,01/08/2017 16:06,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Brehov,Brehov,Živnostník,Entrepreneur,Prevádzka kultúr.zariad.,Artistic creation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,"Creative, arts and entertainment activities",R90.0,R90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",FALSE,TRUE,True,NULL,NULL,culture industries
2,1,56101,101,528200,811,8,1576823,48017230,1087195285,Ladislav Zrebňák PARTY BAR,Brehov,Hlavná 159/87,7605,14/02/2018,07/01/2015,FALSE,SUSR,17/05/2016 23:43,15/02/2018 03:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Brehov,Brehov,Živnostník,Entrepreneur,Jedálne,Eating houses,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,TRUE,True,NULL,partialy tourism industry,catering & food service industries
2,1,49390,106,521558,806,8,55639,32557523,1031483354,Jaroslav Stolár,Kokšov-Bakša,Kokšov-Bakša 270,4413,31/07/2017,28/12/2013,FALSE,SUSR,17/05/2016 21:52,01/08/2017 02:39,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Kokšov-Bakša,Kokšov-Bakša,FO-slob.povolanie v OR,Freelance occup.in BR,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,56101,101,521558,806,8,1814676,52074293,1122849398,Kvetoslava Zálehová,Kokšov-Bakša,Kokšov-Bakša 46,4413,01/06/2020,01/01/2019,FALSE,SUSR,06/02/2019 03:22,02/06/2020 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Kokšov-Bakša,Kokšov-Bakša,Živnostník,Entrepreneur,Jedálne,Eating houses,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,56109,101,521558,806,8,1920412,53139178,NULL,Katarína Hudáková,Kokšov-Bakša,Kokšov-Bakša 111,4413,08/01/2021,01/12/2020,FALSE,SUSR,11/08/2020 02:31,09/01/2021 07:26,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Kokšov-Bakša,Kokšov-Bakša,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,93290,101,521558,806,8,709973,44451806,1080238555,Ing. Peter Tóth - STOPA,Kokšov-Bakša,Kokšov - Bakša 269,4413,14/02/2018,20/11/2008,FALSE,SUSR,17/05/2016 22:57,15/02/2018 02:34,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Kokšov-Bakša,Kokšov-Bakša,Živnostník,Entrepreneur,"Ost.zábav,voľnočas.čin.",Oth.amusement act.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Amusement and recreation activities,R93.2,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
